PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
3482549824261813216,-0.4968989526648463,0.0,2.0,0.0,1.0,1.0,1.0,0.376,0.376,0.812,Root,4,0.04598879956022813
3482549824261813216,0.09395717254266363,0.0,1.0,1.0,1.0,1.0,1.0,0.78,0.78,1.0,Bulk,4,0.032213289356146514
3482549824261813216,-0.1538681486013456,0.02,1.0,0.0,0.98,0.98,0.98,0.44,0.44,0.912,Bulk,4,0.057501889644746736
3482549824261813216,-0.5913559002472892,0.0,3.0,0.0,0.952,0.952,0.952,0.344,0.344,0.932,Inner Tree Node,2,0.0202020202020202
3482549824261813216,0.7610935026738977,0.0,1.0,1.0,1.0,1.0,1.0,0.924,0.924,1.0,Root,6,0.15570844499415926
3482549824261813216,0.1841936093794548,0.0,2.0,0.0,1.0,1.0,1.0,0.332,0.332,0.98,Inner Tree Node,2,0.03999175427746856
3482549824261813216,0.43271671167344994,0.0,1.0,1.0,1.0,1.0,1.0,0.864,0.864,1.0,Bulk,5,0.13123149211584587
3482549824261813216,-0.8310471384345981,0.0,1.0,1.0,1.0,1.0,1.0,0.852,0.852,1.0,Bulk,4,0.06036556036556038
3482549824261813216,-0.37388691615230213,0.0,1.0,1.0,1.0,1.0,1.0,0.992,0.992,1.0,Root,4,0.059678416821273964
3482549824261813216,-0.7074997067289774,0.008,1.0,0.0,0.992,0.992,0.992,0.408,0.408,0.988,Bulk,3,0.0021919879062736202
3482549824261813216,-0.7918851705389236,0.0,1.0,0.0,0.804,0.804,0.804,0.316,0.316,0.804,Dense Sprout,1,0.0
3482549824261813216,-0.7026338172723062,0.08,1.0,0.0,0.912,0.912,0.916,0.512,0.512,0.916,Root,3,0.029835772692915544
3482549824261813216,-0.1800895477635328,0.048,1.0,0.0,0.952,0.952,0.952,0.412,0.412,0.952,Bulk,3,0.0996564282278568
3482549824261813216,0.3859851662480066,0.0,1.0,1.0,1.0,1.0,1.0,0.8,0.8,1.0,Bulk,4,0.08232094184475139
3482549824261813216,0.12093820619766438,0.0,1.0,1.0,0.996,0.996,1.0,0.796,0.796,1.0,Root,3,0.03416821273964131
3482549824261813216,0.4010229304763725,0.092,1.0,0.0,0.864,0.864,0.864,0.596,0.596,0.864,Root,6,0.05916993059850209
3482549824261813216,-0.8344893838545965,0.052,1.0,0.0,0.948,0.948,0.948,0.436,0.436,0.94,Bulk,5,0.12093153759820427
3482549824261813216,-0.6206682633480256,0.0,1.0,1.0,1.0,1.0,1.0,0.968,0.968,1.0,Bulk,2,0.0029242865977559818
3482549824261813216,-0.5182152869188552,0.192,1.0,0.0,0.804,0.804,0.804,0.44,0.44,0.804,Bulk,3,0.060916420440229976
3482549824261813216,-0.6820026736871703,0.016,1.0,1.0,0.976,0.976,0.976,0.756,0.756,0.976,Bulk,3,0.01177305939210701
3482549824261813216,-0.5761290412849815,0.0,1.0,1.0,1.0,1.0,1.0,0.704,0.704,1.0,Bulk,3,0.00999793856936714
3482549824261813216,-0.28690470636795906,0.0,1.0,1.0,1.0,1.0,1.0,0.64,0.64,1.0,Bulk,2,0.019198790627362055
3482549824261813216,0.26545927507063416,0.0,1.0,1.0,1.0,1.0,1.0,0.756,0.756,1.0,Bulk,4,0.015196179481893758
3482549824261813216,-0.8333254663237396,0.0,1.0,1.0,1.0,1.0,1.0,0.844,0.844,1.0,Bulk,3,0.009516938088366659
3482549824261813216,-0.8546609081368178,0.0,1.0,1.0,1.0,1.0,1.0,0.804,0.804,1.0,Bulk,2,0.0013009917771822535
3482549824261813216,-0.4520756411835605,0.0,1.0,1.0,1.0,1.0,1.0,0.668,0.668,1.0,Bulk,3,0.035896378753521606
