PG_IDX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
-4753569881913528626,-0.6253482978990842,0.0,1.0,1.0,1.0,1.0,1.0,0.816,0.816,1.0,Bulk,2,0.03546004260289973
-4753569881913528626,-0.5607982374625956,0.0,2.0,0.0,1.0,1.0,1.0,0.34,0.34,0.904,Bulk,2,0.010329239921076651
-4753569881913528626,-0.6235836418602401,0.0,1.0,0.0,0.988,0.988,0.988,0.344,0.344,0.9,Bulk,2,0.005536413699679007
-4753569881913528626,-0.03633987667555853,0.0,1.0,1.0,1.0,1.0,1.0,0.788,0.788,1.0,Root,4,0.0818540114458482
-4753569881913528626,0.4887572472408553,0.032,1.0,0.0,0.968,0.968,0.968,0.528,0.528,0.968,Bulk,4,0.025717001567341705
-4753569881913528626,0.6351501804378497,0.008,1.0,0.0,0.98,0.98,0.98,0.508,0.508,0.98,Bulk,4,0.06798745472214861
-4753569881913528626,0.1571997842752316,0.0,1.0,1.0,0.868,0.868,1.0,0.868,0.868,1.0,Root,3,0.03999175427746856
-4753569881913528626,-0.26841755367091963,0.14,2.0,0.0,0.84,0.84,0.84,0.372,0.372,0.816,Bulk,2,0.0
-4753569881913528626,0.03387014735396223,0.012,1.0,0.0,0.988,0.988,0.988,0.504,0.504,0.988,Bulk,3,0.00010307153164296021
-4753569881913528626,0.8059956994367027,0.0,2.0,1.0,0.992,0.992,1.0,0.596,0.596,1.0,Bulk,2,0.006888614031471173
-4753569881913528626,0.12164220169780054,0.0,1.0,1.0,1.0,1.0,1.0,0.716,0.716,1.0,Root,3,0.028426964821522648
-4753569881913528626,-0.8419289458090404,0.268,1.0,0.0,0.724,0.724,0.724,0.216,0.216,0.724,Sparse Sprout,1,0.0
-4753569881913528626,0.6050344296069453,0.12,1.0,0.0,0.876,0.876,0.876,0.38,0.38,0.876,Bulk,2,0.00020614306328592042
-4753569881913528626,-0.7430421266706199,0.0,1.0,0.0,0.86,0.86,0.86,0.356,0.356,0.776,Bulk,2,0.03286329442792027
-4753569881913528626,-0.8793795574127987,0.004,1.0,1.0,0.672,0.672,0.996,0.672,0.672,0.996,Inner Tree Node,2,0.0202020202020202
-4753569881913528626,-0.22280260292558093,0.008,2.0,1.0,0.936,0.936,0.992,0.572,0.572,0.992,Proper Leave,1,0.0
-4753569881913528626,0.7311445063168461,0.0,1.0,1.0,1.0,1.0,1.0,0.872,0.872,1.0,Bulk,3,0.021405175826944536
-4753569881913528626,0.9532337287702576,0.004,1.0,1.0,0.616,0.616,0.996,0.616,0.616,0.996,Proper Leave,1,0.0
-4753569881913528626,0.028563426802458394,0.0,1.0,0.0,1.0,1.0,1.0,0.364,0.364,1.0,Proper Leave,1,0.0
-4753569881913528626,-0.20535898281502793,0.004,2.0,1.0,0.944,0.944,0.996,0.516,0.516,0.996,Proper Leave,1,0.0
-4753569881913528626,-0.09079956374093871,0.0,1.0,0.0,0.992,0.992,1.0,0.588,0.588,1.0,Root,3,0.05474456256769183
-4753569881913528626,0.5602181259511281,0.0,1.0,0.0,1.0,1.0,1.0,0.316,0.316,0.844,Bulk,2,0.007342128770700197
-4753569881913528626,0.8303321067510562,0.0,1.0,0.0,0.984,0.984,1.0,0.528,0.528,1.0,Inner Tree Node,2,0.0202020202020202
-4753569881913528626,-0.39196362807089585,0.18,1.0,0.0,0.812,0.812,0.812,0.344,0.344,0.8,Inner Tree Node,2,0.03999175427746856
-4753569881913528626,0.9539081043663209,0.0,1.0,1.0,1.0,1.0,1.0,0.932,0.932,1.0,Dense Sprout,1,0.0
