PG_IDX,Abs_Spread,AX,Power,INFEASIBLE,Constraint_Distance,Constraint,SNBS,SNBS_u,SNBS_ω,SURV,SURV_u,SURV_ω,NodeClass,degree,betweenness
147318256991670372,0.49002976123223435,1.3496486181344263,0.13554600820721818,0.132,1.0,1.0,0.868,0.868,0.868,0.848,0.848,0.868,Sparse Sprout,1,0.0
147318256991670372,0.214154596967624,1.2051169042440213,-0.08638995106109042,0.024,2.0,1.0,0.976,0.976,0.976,0.78,0.78,0.976,Bulk,2,0.00017178588607160032
147318256991670372,0.2612728214286464,0.9360612400551732,-0.3629233878354168,0.204,1.0,1.0,0.752,0.752,0.796,0.684,0.684,0.796,Inner Tree Node,2,0.0202020202020202
147318256991670372,0.48150583496710947,1.5884838022725571,0.3891147040312308,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sparse Sprout,1,0.0
147318256991670372,0.0,1.1059029727401055,-0.6082367824772154,0.232,2.0,0.0,0.76,0.76,0.76,0.472,0.472,0.768,Inner Tree Node,2,0.0202020202020202
147318256991670372,0.13311756182435333,1.4414863186003823,0.42064731737892613,0.496,1.0,0.0,0.5,0.5,0.5,0.32,0.32,0.5,Sparse Sprout,1,0.0
147318256991670372,0.255835917425344,1.2556999523824268,0.09816247432801287,0.0,1.0,1.0,1.0,1.0,1.0,0.868,0.868,1.0,Proper Leave,1,0.0
147318256991670372,0.2822511027114234,1.9411423561810819,-0.47823294454383625,0.66,1.0,0.0,0.328,0.328,0.328,0.264,0.264,0.328,Sparse Sprout,1,0.0
147318256991670372,0.23383678243973766,1.6611734963563596,-0.860384782713647,0.356,1.0,0.0,0.644,0.644,0.644,0.524,0.524,0.644,Root,3,0.0202020202020202
147318256991670372,0.08141442488428452,1.0557809807491216,-0.8305450126158029,0.06,1.0,0.0,0.924,0.924,0.924,0.74,0.74,0.924,Inner Tree Node,3,0.04019789734075448
147318256991670372,0.3989710087996249,1.1968691522025854,-0.14115362748392812,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,2,0.002473716759431045
147318256991670372,0.30318496017450947,1.4239578819520808,-0.876999794905307,0.0,1.0,1.0,0.996,0.996,1.0,0.96,0.96,1.0,Root,3,0.029925101353672785
147318256991670372,0.0,1.0938281221564143,-0.25408437496139197,0.624,2.0,0.0,0.356,0.356,0.356,0.268,0.268,0.356,Proper Leave,1,0.0
147318256991670372,0.23660489227869744,1.345273333392311,-0.6889268999225334,0.004,2.0,1.0,0.924,0.924,0.996,0.656,0.656,0.996,Sparse Sprout,1,0.0
147318256991670372,0.28765945582111757,2.0382324929494597,0.7411141709227043,0.732,1.0,0.0,0.252,0.252,0.252,0.22,0.22,0.252,Sparse Sprout,1,0.0
147318256991670372,0.32836482570151104,1.511067009787505,-0.14223227928227522,0.032,2.0,1.0,0.968,0.968,0.968,0.932,0.932,0.968,Bulk,2,0.0006459149316292173
147318256991670372,0.0,1.0279993759408101,0.45636337025924306,0.492,2.0,0.0,0.5,0.5,0.5,0.36,0.36,0.5,Bulk,2,0.008245722531436817
147318256991670372,0.07752857334198085,1.410185409655481,0.9273566413662586,0.0,1.0,0.0,0.876,0.876,0.876,0.568,0.568,0.876,Sparse Sprout,1,0.0
147318256991670372,0.2862666163557238,1.2325624696222195,-0.8869601312828278,0.164,1.0,1.0,0.668,0.668,0.832,0.58,0.58,0.832,Proper Leave,1,0.0
147318256991670372,0.0,1.0268853940876812,0.16046887825117342,0.492,2.0,0.0,0.5,0.5,0.5,0.268,0.268,0.5,Sparse Sprout,1,0.0
147318256991670372,0.0,1.0787489935775942,0.9980665884752958,0.096,2.0,0.0,0.844,0.844,0.844,0.476,0.476,0.844,Proper Leave,1,0.0
147318256991670372,0.3103107866810107,1.5220692197181898,-0.7614529113090975,0.004,2.0,1.0,0.988,0.988,0.996,0.844,0.844,0.996,Bulk,2,0.008245722531436819
147318256991670372,0.3559080900974265,1.1363547200650421,0.5138505396917296,0.164,1.0,1.0,0.836,0.836,0.836,0.812,0.812,0.836,Bulk,2,0.007254277708823161
147318256991670372,0.2908442370526503,1.1649065343073801,-0.3061958283717934,0.16,1.0,1.0,0.84,0.84,0.84,0.84,0.84,0.84,Bulk,2,0.003092145949288806
147318256991670372,0.0,0.9703484081647767,0.9302306143299655,0.436,2.0,0.0,0.436,0.436,0.436,0.28,0.28,0.56,Sparse Sprout,1,0.0
147318256991670372,0.06737961689376096,1.0642059500023298,0.19254489707379152,0.004,4.0,1.0,0.996,0.996,0.996,0.724,0.724,0.996,Proper Leave,1,0.0
147318256991670372,0.35728804550492116,0.7796217033124712,-0.5850674618600571,0.188,1.0,1.0,0.8,0.8,0.8,0.776,0.776,0.8,Sparse Sprout,1,0.0
147318256991670372,0.3922140520405476,1.106214119738883,-0.6823994090031111,0.0,1.0,1.0,1.0,1.0,1.0,0.984,0.984,1.0,Bulk,2,0.00591925081721
147318256991670372,0.19405101058165763,1.863533619339168,-0.3673452931685458,0.48,1.0,0.0,0.52,0.52,0.52,0.4,0.4,0.52,Bulk,2,0.001511715797430083
147318256991670372,0.25462445964501784,1.4599327686505,-0.2436375929642066,0.012,2.0,1.0,0.984,0.984,0.988,0.808,0.808,0.988,Sparse Sprout,1,0.0
147318256991670372,0.351478627774261,2.022566030611147,0.03643600636246005,0.184,1.0,0.0,0.816,0.816,0.816,0.676,0.676,0.816,Bulk,3,0.01744461132216234
147318256991670372,0.34991979907869136,1.2707463644204142,0.6373313144999124,0.0,1.0,1.0,0.988,0.988,1.0,0.928,0.928,1.0,Sparse Sprout,1,0.0
147318256991670372,0.4695329206982529,2.188322014603746,-0.47058577842542393,0.736,1.0,0.0,0.26,0.26,0.26,0.236,0.236,0.26,Bulk,2,0.020421906136191856
147318256991670372,0.17330689150694098,1.6773338398625013,-0.3186810682634397,0.424,1.0,0.0,0.564,0.564,0.564,0.396,0.396,0.564,Bulk,2,0.0011990654847797704
147318256991670372,0.15950182496212098,1.491827824277377,-0.6845117778591874,0.412,1.0,0.0,0.568,0.568,0.568,0.388,0.388,0.568,Bulk,2,0.00977118119975263
147318256991670372,0.2156163784676966,1.2547115132500615,0.25308892380513026,0.0,1.0,1.0,1.0,1.0,1.0,0.848,0.848,1.0,Bulk,2,0.003574128063923982
-6175315216135814709,0.0,0.0,Slack,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Bulk,7,0.5923113854468212
